event_id,attacker,target,event_start_time,event_start_lap,event_type,reason,gap_at_start_m,duration_s,cum_distance_diff_at_start_m,lapped_at_start,max_gap_jump_m,swap_by_distance,swap_by_driver_ahead,swap_time,swap_delay_s,target_speed_at_start_kmh,closing_speed_at_start_kmh,green_at_start,target_retires_in_window,horizon_end,either_in_box_lap_at_start,either_pit_in_window,target_pit_before_outcome
australian_gp_2026_R_00001,RUS,LEC,2026-03-08 04:04:59.732,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,58.44805555555557,41.4,-58.58083333333343,False,6.477777777777648,True,True,2026-03-08 04:05:41.372,41.64,282.0,,True,False,2026-03-08 04:06:11.132,False,False,False
australian_gp_2026_R_00002,HAD,HAM,2026-03-08 04:05:03.132,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",62.8736111111111,37.28,-62.841388888888105,False,10.0,False,False,,,298.0,-32.318229166665965,True,False,2026-03-08 04:06:10.412,False,False,False
australian_gp_2026_R_00003,NOR,LIN,2026-03-08 04:05:03.372,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,28.305,15.92,-28.922222222222445,False,4.888888888888916,True,True,2026-03-08 04:05:19.532,16.16,282.0,,True,False,2026-03-08 04:05:49.292,False,False,False
australian_gp_2026_R_00004,LIN,HAD,2026-03-08 04:05:03.772,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,10.25500000000001,15.52,-10.20333333333383,False,3.866666666666731,True,True,2026-03-08 04:05:48.572,44.8,308.0,-25.62500000000009,True,False,2026-03-08 04:05:49.292,False,False,False
australian_gp_2026_R_00005,ANT,NOR,2026-03-08 04:05:04.212,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",40.726666666666674,49.44,-40.029999999999745,False,11.266666666666652,False,False,,,291.0,,True,False,2026-03-08 04:06:23.652,False,False,False
australian_gp_2026_R_00006,OCO,ANT,2026-03-08 04:05:04.452,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",45.40944444444444,15.68,-45.572777777778356,False,6.266666666666708,False,False,,,296.0,-238.14705882354968,True,False,2026-03-08 04:05:50.132,False,False,False
australian_gp_2026_R_00007,GAS,OCO,2026-03-08 04:05:05.172,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,36.21944444444445,15.76,-35.641666666666424,False,6.611111111111111,True,True,2026-03-08 04:05:20.932,15.76,284.0,10.932142857143939,True,False,2026-03-08 04:05:50.932,False,False,False
australian_gp_2026_R_00008,ALO,GAS,2026-03-08 04:05:05.452,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",22.405,15.48,-22.9827777777773,False,5.06666666666683,False,False,,,292.0,,True,False,2026-03-08 04:05:50.932,False,False,False
australian_gp_2026_R_00009,BOR,ALO,2026-03-08 04:05:05.612,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,40.38666666666666,16.32,-40.23250000000007,False,12.522222222222236,True,True,2026-03-08 04:05:22.412,16.8,301.0,,True,False,2026-03-08 04:05:51.932,False,False,False
australian_gp_2026_R_00010,ALB,BOR,2026-03-08 04:05:06.212,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",52.498333333333335,3.88,-52.14416666666693,False,9.800000000000011,False,False,,,303.0,-46.6184210526355,True,False,2026-03-08 04:05:40.092,False,False,False
australian_gp_2026_R_00011,BOT,SAI,2026-03-08 04:05:07.612,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",75.68611111111113,17.84,-74.79583333333358,False,9.600000000000023,False,False,,,293.0,,True,False,2026-03-08 04:05:55.452,False,False,False
australian_gp_2026_R_00012,VER,BOT,2026-03-08 04:05:08.291,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,39.809166666666655,17.161,-40.597222222222626,False,7.466666666666669,True,True,2026-03-08 04:05:25.612,17.321,304.0,,True,False,2026-03-08 04:05:55.452,False,False,False
australian_gp_2026_R_00013,COL,VER,2026-03-08 04:05:08.451,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",20.827777777777783,17.001,-20.839722222222008,False,11.555555555555486,False,False,,,283.0,,True,False,2026-03-08 04:05:55.452,False,False,False
australian_gp_2026_R_00014,LAW,COL,2026-03-08 04:05:08.972,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,48.06583333333333,56.88,-47.8774999999996,False,5.999999999999947,True,True,2026-03-08 04:05:59.612,50.64,298.0,,True,False,2026-03-08 04:06:35.852,False,False,False
australian_gp_2026_R_00015,PER,LAW,2026-03-08 04:05:09.532,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",28.261111111111106,60.92,-28.293611111111204,False,9.500000000000055,False,False,,,293.0,,True,False,2026-03-08 04:06:40.452,False,False,False
australian_gp_2026_R_00016,STR,PER,2026-03-08 04:05:10.372,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,70.2161111111111,75.64,-70.32749999999942,False,14.255555555556388,True,True,2026-03-08 04:06:26.372,76.0,314.0,,True,False,2026-03-08 04:06:56.012,False,False,False
australian_gp_2026_R_00017,SAI,BEA,2026-03-08 04:05:12.892,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",37.74722222222226,9.04,-37.85500000000047,False,2.7000000000000455,False,False,,,148.0,,True,False,2026-03-08 04:05:51.932,False,False,False
australian_gp_2026_R_00018,BEA,ALB,2026-03-08 04:05:15.972,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,11.023611111111109,5.96,-11.514444444444962,False,5.0877777777777755,True,True,2026-03-08 04:05:22.412,6.44,238.0,-14.57552083333301,True,False,2026-03-08 04:05:51.932,False,False,False
australian_gp_2026_R_00019,NOR,HAD,2026-03-08 04:05:19.532,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",21.733055555555666,3.52,-22.298611111111313,False,4.7999999999999545,False,False,,,113.0,,True,False,2026-03-08 04:05:53.052,False,False,False
australian_gp_2026_R_00020,BEA,ALO,2026-03-08 04:05:22.412,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,29.890555555555466,21.2,-29.873055555554856,False,5.777777777777828,True,True,2026-03-08 04:06:08.892,46.48,101.0,,True,False,2026-03-08 04:06:13.612,False,False,False
australian_gp_2026_R_00021,SAI,ALB,2026-03-08 04:05:22.412,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",41.00861111111112,21.2,-41.607222222222845,False,5.255555555555475,False,False,,,135.0,,True,False,2026-03-08 04:06:13.612,False,False,False
